L -208.6084, 240.9544, -119.4827,  -209.4010, 241.4859, -119.4990,  0, 0, 0
L -202.7751, 239.8713, -119.4796,  -208.6084, 240.9544, -119.4827,  0, 0, 0
L -199.4713, 239.3932, -119.4382,  -202.7751, 239.8713, -119.4796,  0, 0, 0
L -197.5519, 239.0401, -118.9582,  -199.4713, 239.3932, -119.4382,  0, 0, 0
L -195.1646, 238.2780, -118.9680,  -197.5519, 239.0401, -118.9582,  0, 0, 0
L -193.4502, 237.6451, -118.9704,  -195.1646, 238.2780, -118.9680,  0, 0, 0
L -191.6964, 236.6875, -118.9854,  -193.4502, 237.6451, -118.9704,  0, 0, 0
L -190.0231, 235.7217, -118.9786,  -191.6964, 236.6875, -118.9854,  0, 0, 0
L -188.5930, 234.4281, -118.9990,  -190.0231, 235.7217, -118.9786,  0, 0, 0
L -183.3429, 222.4782, -118.9990,  -188.5930, 234.4281, -118.9990,  0, 0, 0
L -179.3758, 213.4493, -118.9990,  -183.3429, 222.4782, -118.9990,  0, 0, 0
L -178.6256, 211.7216, -118.9990,  -179.3758, 213.4493, -118.9990,  0, 0, 0
L -177.2209, 210.3463, -118.9990,  -178.6256, 211.7216, -118.9990,  0, 0, 0
L -160.0082, 210.2497, -118.9990,  -177.2209, 210.3463, -118.9990,  0, 0, 0
L -158.2755, 210.2500, -118.9990,  -160.0082, 210.2497, -118.9990,  0, 0, 0
L -151.0328, 198.1544, -118.9990,  -158.2755, 210.2500, -118.9990,  0, 0, 0
L -150.1680, 196.7103, -118.9990,  -151.0328, 198.1544, -118.9990,  0, 0, 0
L -147.0796, 190.7002, -118.9990,  -150.1680, 196.7103, -118.9990,  0, 0, 0
L -146.3208, 189.1926, -118.9990,  -147.0796, 190.7002, -118.9990,  0, 0, 0
L -144.9155, 187.9792, -118.9990,  -146.3208, 189.1926, -118.9990,  0, 0, 0
L -142.8784, 184.5901, -118.9990,  -144.9155, 187.9792, -118.9990,  0, 0, 0
L -141.9769, 183.0876, -118.9990,  -142.8784, 184.5901, -118.9990,  0, 0, 0
L -141.5864, 177.0136, -118.9990,  -141.9769, 183.0876, -118.9990,  0, 0, 0
L -141.9215, 175.0799, -118.9990,  -141.5864, 177.0136, -118.9990,  0, 0, 0
L -142.3770, 170.4880, -118.9990,  -141.9215, 175.0799, -118.9990,  0, 0, 0
L -142.0614, 168.5319, -118.9990,  -142.3770, 170.4880, -118.9990,  0, 0, 0
L -141.5717, 165.7096, -118.9990,  -142.0614, 168.5319, -118.9990,  0, 0, 0
L -141.2739, 163.9929, -118.9990,  -141.5717, 165.7096, -118.9990,  0, 0, 0
L -145.8373, 162.5692, -118.9819,  -141.2739, 163.9929, -118.9990,  0, 0, 0
L -147.7106, 162.0190, -118.9690,  -145.8373, 162.5692, -118.9819,  0, 0, 0
L -148.9134, 160.6515, -118.9885,  -147.7106, 162.0190, -118.9690,  0, 0, 0
L -149.3901, 156.9877, -117.4990,  -148.9134, 160.6515, -118.9885,  0, 0, 0
L -149.7452, 155.2442, -117.4853,  -149.3901, 156.9877, -117.4990,  0, 0, 0
L -150.5200, 153.4147, -117.4982,  -149.7452, 155.2442, -117.4853,  0, 0, 0
L -151.1642, 151.5277, -117.4822,  -150.5200, 153.4147, -117.4982,  0, 0, 0
L -150.9990, 149.6144, -117.4849,  -151.1642, 151.5277, -117.4822,  0, 0, 0
L -150.5269, 144.7434, -117.4867,  -150.9990, 149.6144, -117.4849,  0, 0, 0
L -150.6089, 142.7984, -117.4785,  -150.5269, 144.7434, -117.4867,  0, 0, 0
L -151.0957, 138.2358, -117.4490,  -150.6089, 142.7984, -117.4785,  0, 0, 0
L -151.3931, 136.4353, -117.4866,  -151.0957, 138.2358, -117.4490,  0, 0, 0
L -152.2930, 133.7875, -117.4844,  -151.3931, 136.4353, -117.4866,  0, 0, 0
L -152.9215, 131.9399, -117.4875,  -152.2930, 133.7875, -117.4844,  0, 0, 0
L -153.3017, 130.0061, -117.4497,  -152.9215, 131.9399, -117.4875,  0, 0, 0
L -152.8071, 126.2167, -117.4989,  -153.3017, 130.0061, -117.4497,  0, 0, 0
L -153.0014, 124.4258, -118.9989,  -152.8071, 126.2167, -117.4989,  0, 0, 0
L -153.5107, 122.7340, -118.9990,  -153.0014, 124.4258, -118.9989,  0, 0, 0
L -153.1973, 120.7680, -118.9888,  -153.5107, 122.7340, -118.9990,  0, 0, 0
L -151.8931, 119.3111, -118.8990,  -153.1973, 120.7680, -118.9888,  0, 0, 0
L -150.2723, 118.2919, -118.9990,  -151.8931, 119.3111, -118.8990,  0, 0, 0
L -148.7033, 117.2276, -118.9990,  -150.2723, 118.2919, -118.9990,  0, 0, 0
L -147.0502, 116.3181, -118.9990,  -148.7033, 117.2276, -118.9990,  0, 0, 0
L -145.1234, 115.8045, -118.9990,  -147.0502, 116.3181, -118.9990,  0, 0, 0
